\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
        1.29 &               0.016 &      117.837 &               0.037 &       233.74 &              -1.119 &      346.998 &              -2.254 &      460.046 &              -2.228 &      574.005 &               -1.92 &      688.853 &               -0.94 &      804.778 &               0.136 &      920.561 &               0.717 &     1036.473 &               0.789 \\
      11.201 &               0.018 &      127.748 &               0.038 &      243.569 &              -1.366 &      356.359 &              -2.252 &      469.629 &              -2.225 &       583.53 &              -1.848 &      698.682 &               -0.85 &      814.606 &               0.227 &      930.473 &               0.727 &     1046.303 &               0.793 \\
      11.891 &               0.018 &      128.439 &               0.039 &      244.283 &              -1.377 &      356.991 &              -2.252 &      470.261 &              -2.225 &      584.302 &              -1.842 &      699.453 &              -0.842 &       815.32 &               0.229 &      931.162 &               0.728 &     1046.934 &               0.794 \\
      12.523 &               0.019 &       129.07 &               0.039 &      244.973 &              -1.397 &      357.763 &              -2.252 &      471.033 &              -2.226 &      584.934 &              -1.837 &      700.087 &              -0.838 &       816.01 &               0.238 &      931.794 &               0.729 &     1047.705 &               0.793 \\
      13.296 &               0.019 &      129.842 &               0.039 &      245.605 &              -1.407 &      358.396 &              -2.252 &      471.665 &              -2.225 &      585.707 &               -1.83 &      700.858 &               -0.83 &      816.642 &               0.243 &      932.567 &                0.73 &      1048.42 &               0.793 \\
       14.01 &               0.018 &      130.557 &               0.039 &      246.378 &              -1.429 &      359.168 &              -2.251 &      472.437 &              -2.226 &       586.42 &              -1.827 &      701.573 &              -0.825 &      817.415 &               0.252 &      933.198 &                0.73 &      1049.11 &               0.793 \\
        14.7 &               0.019 &      131.246 &               0.039 &       247.01 &              -1.439 &      359.799 &              -2.251 &      473.069 &              -2.225 &       587.11 &              -1.819 &      702.263 &              -0.815 &      818.047 &               0.256 &       933.97 &                0.73 &     1049.742 &               0.794 \\
      15.332 &               0.019 &      131.878 &               0.039 &      247.781 &               -1.46 &      360.432 &              -2.251 &      473.841 &              -2.225 &      587.824 &              -1.815 &      702.976 &              -0.812 &      818.818 &               0.265 &      934.602 &               0.731 &     1050.514 &               0.794 \\
      16.104 &               0.019 &      132.651 &               0.039 &      248.414 &               -1.47 &      361.121 &              -2.251 &      474.555 &              -2.225 &      588.514 &              -1.809 &      703.667 &              -0.803 &      819.451 &               0.269 &      935.374 &               0.731 &     1051.146 &               0.794 \\
      16.818 &               0.019 &      133.282 &                0.04 &      249.186 &               -1.49 &      361.754 &              -2.251 &      475.245 &              -2.224 &      589.146 &              -1.804 &      704.299 &              -0.799 &      820.222 &               0.278 &      936.006 &               0.732 &     1051.918 &               0.795 \\
      17.508 &                0.02 &      134.055 &               0.039 &      249.817 &              -1.499 &      362.444 &               -2.25 &      475.877 &              -2.224 &      589.778 &                -1.8 &      705.071 &              -0.791 &      820.854 &               0.282 &      936.779 &               0.733 &      1052.55 &               0.795 \\
       18.14 &               0.019 &      134.687 &                0.04 &       250.59 &              -1.518 &      363.076 &              -2.251 &      476.509 &              -2.224 &      590.469 &              -1.793 &      705.703 &              -0.787 &      821.627 &               0.291 &      937.411 &               0.733 &     1053.322 &               0.795 \\
      18.912 &               0.019 &      135.459 &                0.04 &      251.304 &              -1.528 &      363.848 &              -2.251 &      477.199 &              -2.224 &      591.101 &               -1.79 &      706.475 &              -0.777 &      822.259 &               0.296 &      938.182 &               0.734 &     1054.036 &               0.796 \\
      19.626 &                0.02 &      136.091 &                0.04 &      251.994 &              -1.547 &       364.48 &              -2.251 &      478.053 &              -2.224 &       591.79 &              -1.782 &      707.189 &              -0.773 &      823.031 &               0.305 &      938.897 &               0.734 &     1054.727 &               0.795 \\
      20.317 &                0.02 &      136.864 &               0.039 &      252.625 &              -1.555 &      365.252 &               -2.25 &      478.768 &              -2.224 &      592.504 &              -1.779 &      707.879 &              -0.764 &      823.663 &               0.309 &      939.587 &               0.736 &      1055.44 &               0.796 \\
       21.03 &               0.019 &      137.577 &                0.04 &      253.399 &              -1.573 &      365.885 &               -2.25 &      479.458 &              -2.224 &      593.195 &              -1.771 &      708.511 &               -0.76 &      824.436 &               0.318 &      940.301 &               0.736 &     1056.132 &               0.796 \\
      21.721 &                0.02 &      138.268 &                0.04 &      254.112 &              -1.582 &      366.656 &              -2.249 &      480.171 &              -2.223 &      593.827 &              -1.767 &      709.283 &              -0.751 &      825.067 &               0.323 &       940.99 &               0.737 &     1056.763 &               0.796 \\
      22.352 &                0.02 &      138.899 &               0.041 &      254.802 &              -1.599 &      367.289 &               -2.25 &      480.863 &              -2.223 &      594.598 &              -1.759 &      709.997 &              -0.747 &      825.839 &               0.332 &      941.704 &               0.737 &     1057.535 &               0.796 \\
      23.125 &               0.021 &      139.671 &               0.041 &      255.423 &              -1.607 &      368.061 &              -2.249 &      481.576 &              -2.223 &      595.231 &              -1.756 &      710.688 &              -0.738 &      826.553 &               0.335 &      942.395 &               0.738 &     1058.167 &               0.796 \\
      23.757 &                0.02 &      140.304 &               0.041 &      256.195 &              -1.624 &      368.692 &              -2.249 &      482.266 &              -2.222 &      596.003 &              -1.748 &       711.32 &              -0.735 &      827.243 &               0.344 &      943.027 &               0.738 &      1058.94 &               0.797 \\
      24.529 &               0.021 &      141.076 &               0.041 &      256.909 &              -1.631 &      369.325 &              -2.249 &      482.898 &              -2.222 &      596.717 &              -1.744 &      712.091 &              -0.726 &      827.876 &               0.348 &        943.8 &               0.739 &     1059.572 &               0.797 \\
      25.161 &               0.021 &      141.707 &               0.041 &      257.599 &              -1.648 &      370.015 &              -2.249 &       483.67 &              -2.222 &      597.407 &              -1.737 &      712.723 &              -0.722 &      828.647 &               0.357 &      944.432 &                0.74 &     1060.343 &               0.797 \\
      25.934 &               0.021 &       142.48 &               0.041 &      258.232 &              -1.657 &      370.647 &              -2.248 &      484.302 &              -2.222 &      598.039 &              -1.733 &      713.496 &              -0.714 &      829.361 &               0.362 &      945.203 &                0.74 &     1061.057 &               0.797 \\
      26.647 &               0.021 &      143.113 &               0.041 &      258.863 &              -1.664 &      371.337 &              -2.249 &      485.074 &              -2.222 &      598.671 &              -1.729 &      714.209 &              -0.708 &      830.051 &                0.37 &      945.835 &                0.74 &     1061.748 &               0.797 \\
      27.338 &               0.021 &      143.885 &               0.041 &      259.553 &              -1.681 &      371.969 &              -2.248 &      485.788 &              -2.222 &      599.362 &              -1.721 &        714.9 &                -0.7 &      830.684 &               0.374 &      946.607 &               0.742 &     1062.379 &               0.798 \\
       27.97 &               0.022 &      144.598 &               0.041 &      260.185 &              -1.689 &      372.742 &              -2.248 &      486.479 &              -2.222 &      599.994 &              -1.717 &      715.614 &              -0.696 &      831.456 &               0.383 &      947.239 &               0.742 &     1063.152 &               0.799 \\
      28.741 &               0.022 &      145.289 &               0.041 &      260.875 &              -1.705 &      373.374 &              -2.248 &      487.111 &              -2.221 &      600.684 &               -1.71 &      716.304 &              -0.688 &      832.088 &               0.387 &      948.012 &               0.742 &     1063.865 &               0.799 \\
      29.374 &               0.022 &      145.921 &               0.041 &      261.508 &              -1.712 &      374.145 &              -2.248 &      487.883 &              -2.222 &      601.315 &              -1.707 &      716.936 &              -0.683 &       832.86 &               0.396 &      948.725 &               0.743 &     1064.556 &               0.798 \\
      30.146 &               0.022 &      146.693 &               0.041 &       262.14 &               -1.72 &      374.777 &              -2.248 &      488.514 &              -2.222 &      601.947 &              -1.703 &      717.708 &              -0.674 &      833.492 &               0.401 &      949.416 &               0.743 &     1065.188 &               0.799 \\
      30.777 &               0.021 &      147.325 &               0.041 &       262.83 &              -1.734 &      375.409 &              -2.248 &      489.287 &              -2.221 &      602.637 &              -1.695 &      718.422 &               -0.67 &      834.265 &                0.41 &      950.129 &               0.744 &      1065.96 &               0.799 \\
      31.551 &               0.023 &      148.097 &               0.041 &      263.684 &              -1.749 &        376.1 &              -2.247 &       489.92 &              -2.221 &      603.352 &              -1.691 &      719.112 &              -0.661 &      834.978 &               0.414 &       950.82 &               0.744 &     1066.592 &                 0.8 \\
      32.182 &               0.022 &      148.729 &               0.041 &      264.316 &              -1.757 &      376.813 &              -2.247 &      490.691 &              -2.221 &      604.042 &              -1.684 &      719.827 &              -0.658 &      835.668 &               0.422 &      951.453 &               0.745 &     1067.364 &                 0.8 \\
      32.953 &               0.022 &      149.501 &               0.042 &      264.948 &              -1.764 &      377.503 &              -2.247 &      491.323 &              -2.221 &      604.674 &               -1.68 &      720.516 &              -0.648 &        836.3 &               0.427 &      952.224 &               0.746 &     1067.996 &                 0.8 \\
      33.587 &               0.022 &      150.133 &               0.041 &      265.639 &              -1.778 &      378.136 &              -2.247 &      492.096 &               -2.22 &      605.365 &              -1.673 &       721.23 &              -0.645 &      837.073 &               0.435 &      952.856 &               0.746 &     1068.768 &                 0.8 \\
      34.359 &               0.023 &      150.905 &               0.041 &       266.27 &              -1.785 &      378.826 &              -2.246 &      492.728 &               -2.22 &      605.996 &              -1.669 &      721.921 &              -0.636 &      837.705 &               0.439 &      953.628 &               0.747 &       1069.4 &               0.801 \\
      35.073 &               0.023 &      151.538 &               0.042 &       266.96 &                -1.8 &      379.458 &              -2.246 &        493.5 &              -2.221 &      606.768 &              -1.661 &      722.635 &              -0.632 &      838.476 &               0.447 &       954.26 &               0.748 &     1070.173 &               0.801 \\
      35.763 &               0.023 &      152.309 &               0.041 &      267.592 &              -1.806 &       380.23 &              -2.246 &      494.131 &               -2.22 &      607.401 &              -1.657 &      723.326 &              -0.623 &      839.108 &               0.451 &      955.033 &               0.749 &     1070.885 &               0.801 \\
      36.394 &               0.023 &      152.941 &               0.042 &      268.224 &              -1.814 &      380.862 &              -2.247 &      494.763 &               -2.22 &      608.173 &              -1.649 &      724.039 &              -0.618 &      839.881 &               0.459 &      955.664 &               0.748 &     1071.576 &               0.801 \\
      37.166 &               0.023 &      153.714 &               0.042 &      268.914 &              -1.827 &      381.635 &              -2.246 &      495.454 &               -2.22 &      608.805 &              -1.645 &      724.729 &               -0.61 &      840.512 &               0.462 &      956.436 &               0.748 &     1072.209 &               0.801 \\
       37.88 &               0.023 &      154.345 &               0.043 &      269.769 &               -1.84 &      382.266 &              -2.245 &      496.308 &               -2.22 &      609.576 &              -1.636 &      725.361 &              -0.605 &      841.285 &                0.47 &      957.069 &               0.749 &     1072.981 &               0.801 \\
      38.571 &               0.023 &      155.117 &               0.042 &      270.401 &              -1.847 &      383.038 &              -2.245 &      496.941 &              -2.219 &       610.29 &              -1.633 &      726.133 &              -0.596 &      841.917 &               0.475 &      957.841 &                0.75 &     1073.612 &               0.802 \\
      39.202 &               0.024 &       155.75 &               0.043 &      271.173 &              -1.859 &      383.671 &              -2.245 &      497.712 &               -2.22 &      610.981 &              -1.625 &      726.765 &              -0.593 &      842.689 &               0.482 &      958.473 &                0.75 &     1074.384 &               0.802 \\
      39.975 &               0.024 &      156.522 &               0.043 &      271.805 &              -1.865 &      384.302 &              -2.245 &      498.344 &               -2.22 &      611.613 &              -1.621 &      727.537 &              -0.584 &      843.321 &               0.485 &      959.245 &               0.751 &     1075.017 &               0.802 \\
      40.607 &               0.024 &      157.154 &               0.043 &      272.577 &              -1.878 &      384.993 &              -2.244 &      499.116 &              -2.219 &      612.385 &              -1.613 &      728.169 &               -0.58 &      844.093 &               0.493 &      959.877 &               0.751 &     1075.789 &               0.803 \\
      41.379 &               0.024 &      157.926 &               0.043 &      273.209 &              -1.884 &      385.706 &              -2.245 &      499.748 &               -2.22 &      613.017 &               -1.61 &      728.942 &              -0.571 &      844.725 &               0.496 &      960.649 &               0.752 &     1076.503 &               0.803 \\
      42.093 &               0.024 &       158.64 &               0.043 &      273.981 &              -1.897 &      386.315 &              -2.245 &       500.52 &              -2.219 &      613.801 &              -1.601 &      729.574 &              -0.566 &      845.497 &               0.502 &      961.281 &               0.752 &     1077.193 &               0.802 \\
      42.783 &               0.024 &      159.331 &               0.043 &      274.695 &              -1.903 &      386.946 &              -2.245 &      501.152 &              -2.218 &      614.433 &              -1.597 &      730.346 &              -0.558 &      846.129 &               0.506 &      962.054 &               0.753 &     1077.907 &               0.803 \\
      43.415 &               0.024 &      159.963 &               0.044 &      275.385 &              -1.915 &       387.72 &              -2.245 &      501.925 &              -2.219 &      615.205 &               -1.59 &      730.978 &              -0.554 &      846.901 &               0.512 &      962.685 &               0.753 &     1078.597 &               0.803 \\
      44.188 &               0.024 &      160.735 &               0.043 &      276.018 &              -1.921 &      388.352 &              -2.244 &      502.557 &              -2.219 &      615.837 &              -1.586 &       731.75 &              -0.546 &      847.533 &               0.516 &      963.458 &               0.753 &     1079.229 &               0.803 \\
       44.82 &               0.024 &      161.366 &               0.043 &      276.789 &              -1.933 &      389.124 &              -2.245 &      503.328 &              -2.218 &      616.609 &              -1.578 &      732.381 &              -0.542 &      848.306 &               0.521 &      964.172 &               0.754 &     1080.001 &               0.804 \\
      45.592 &               0.025 &      162.139 &               0.043 &      277.421 &              -1.939 &      389.756 &              -2.244 &      504.043 &              -2.218 &      617.241 &              -1.574 &      733.155 &              -0.532 &      848.938 &               0.524 &      964.862 &               0.754 &     1080.634 &               0.803 \\
      46.223 &               0.024 &      162.771 &               0.044 &      278.194 &               -1.95 &      390.528 &              -2.243 &      504.733 &              -2.219 &      618.013 &              -1.566 &      733.786 &              -0.528 &       849.71 &                0.53 &      965.493 &               0.755 &     1081.406 &               0.804 \\
      46.996 &               0.024 &      163.543 &               0.043 &      278.826 &              -1.956 &      391.159 &              -2.244 &      505.365 &              -2.218 &      618.645 &              -1.562 &      734.558 &              -0.519 &      850.341 &               0.533 &      966.265 &               0.755 &     1082.037 &               0.805 \\
       47.71 &               0.025 &      164.174 &               0.043 &      279.457 &              -1.961 &      391.931 &              -2.243 &      506.137 &              -2.218 &      619.418 &              -1.554 &      735.189 &              -0.514 &      851.114 &               0.538 &      966.897 &               0.756 &      1082.81 &               0.805 \\
      48.401 &               0.025 &      164.948 &               0.044 &      280.147 &              -1.971 &      392.564 &              -2.243 &      506.768 &              -2.218 &      620.049 &               -1.55 &      735.962 &              -0.506 &      851.745 &               0.541 &       967.67 &               0.756 &     1083.442 &               0.804 \\
      49.114 &               0.025 &      165.579 &               0.044 &      280.781 &              -1.977 &      393.336 &              -2.243 &      507.542 &              -2.217 &      620.822 &              -1.542 &      736.594 &              -0.502 &      852.518 &               0.547 &      968.301 &               0.757 &     1084.214 &               0.805 \\
      49.805 &               0.026 &      166.351 &               0.044 &      281.471 &              -1.988 &      394.049 &              -2.243 &      508.255 &              -2.218 &      621.454 &              -1.538 &      737.367 &              -0.494 &       853.15 &               0.549 &      969.074 &               0.757 &     1084.927 &               0.805 \\
      50.437 &               0.026 &      166.984 &               0.044 &      282.103 &              -1.993 &       394.74 &              -2.243 &      508.945 &              -2.216 &      622.226 &              -1.531 &      737.998 &              -0.489 &      853.922 &               0.555 &      969.706 &               0.757 &     1085.618 &               0.805 \\
      51.208 &               0.025 &      167.755 &               0.044 &      282.874 &              -2.003 &      395.372 &              -2.242 &       509.66 &              -2.217 &      622.858 &              -1.526 &      738.771 &               -0.48 &      854.553 &               0.557 &      970.479 &               0.758 &     1086.332 &               0.805 \\
       51.84 &               0.025 &      168.386 &               0.045 &      283.506 &              -2.008 &      396.144 &              -2.243 &       510.35 &              -2.217 &       623.63 &              -1.519 &      739.403 &              -0.476 &      855.326 &               0.562 &       971.11 &               0.758 &     1087.021 &               0.805 \\
      52.613 &               0.025 &       169.16 &               0.044 &      284.279 &              -2.017 &      396.777 &              -2.242 &      511.063 &              -2.217 &      624.262 &              -1.515 &      740.175 &              -0.466 &      855.958 &               0.564 &      971.882 &               0.759 &     1087.653 &               0.805 \\
      53.245 &               0.026 &      169.792 &               0.044 &      284.911 &              -2.022 &      397.408 &              -2.242 &      511.754 &              -2.217 &      625.034 &              -1.506 &      740.806 &              -0.462 &       856.73 &               0.568 &      972.514 &               0.759 &     1088.426 &               0.806 \\
      54.017 &               0.027 &      170.563 &               0.044 &      285.542 &              -2.027 &      398.098 &              -2.242 &      512.386 &              -2.216 &      625.748 &              -1.503 &      741.579 &              -0.454 &      857.444 &               0.571 &      973.286 &               0.759 &     1089.058 &               0.806 \\
      54.731 &               0.027 &      171.277 &               0.045 &      286.233 &              -2.036 &       398.73 &              -2.242 &      513.018 &              -2.216 &      626.439 &              -1.495 &      742.211 &              -0.448 &      858.134 &               0.575 &      973.918 &                0.76 &      1089.83 &               0.807 \\
      55.421 &               0.026 &      171.968 &               0.045 &      287.087 &              -2.044 &       399.42 &              -2.242 &      513.708 &              -2.216 &       627.07 &              -1.491 &      742.983 &              -0.439 &      858.766 &               0.577 &       974.69 &               0.761 &     1090.462 &               0.807 \\
      56.052 &               0.026 &      172.682 &               0.045 &      287.719 &              -2.049 &      400.053 &              -2.242 &       514.34 &              -2.216 &      627.842 &              -1.483 &      743.615 &              -0.436 &      859.539 &               0.581 &      975.323 &               0.761 &     1091.234 &               0.807 \\
      56.826 &               0.026 &      173.373 &               0.045 &      288.491 &              -2.057 &      400.684 &              -2.241 &      515.029 &              -2.215 &      628.558 &              -1.478 &      744.387 &              -0.427 &       860.17 &               0.584 &      976.095 &               0.762 &     1091.866 &               0.808 \\
      57.458 &               0.027 &      174.085 &               0.045 &      289.123 &              -2.061 &      401.375 &              -2.241 &      515.744 &              -2.216 &      629.246 &              -1.471 &      745.019 &              -0.423 &      860.943 &               0.588 &      976.726 &               0.761 &     1092.638 &               0.807 \\
      58.229 &               0.027 &      174.776 &               0.045 &      289.894 &              -2.069 &      402.007 &              -2.241 &      516.434 &              -2.215 &      629.878 &              -1.466 &      745.791 &              -0.414 &      861.574 &                0.59 &      977.499 &               0.762 &      1093.27 &               0.807 \\
      58.862 &               0.027 &       175.49 &               0.045 &      290.527 &              -2.074 &      402.697 &              -2.241 &      517.066 &              -2.215 &       630.65 &              -1.458 &      746.424 &               -0.41 &      862.348 &               0.593 &      978.131 &               0.762 &     1094.043 &               0.808 \\
      59.634 &               0.027 &      176.181 &               0.045 &        291.3 &              -2.083 &      403.329 &              -2.241 &      517.839 &              -2.214 &      631.283 &              -1.454 &      747.195 &              -0.401 &       862.98 &               0.595 &      978.903 &               0.763 &     1094.675 &               0.808 \\
      60.265 &               0.027 &      176.895 &               0.045 &      291.931 &              -2.087 &      404.101 &              -2.241 &       518.47 &              -2.213 &      632.055 &              -1.446 &      747.909 &              -0.397 &      863.751 &               0.599 &      979.617 &               0.763 &     1095.447 &               0.808 \\
      61.038 &               0.027 &      177.585 &               0.045 &      292.563 &              -2.091 &      404.815 &              -2.241 &      519.103 &              -2.213 &      632.687 &              -1.442 &        748.6 &              -0.388 &      864.466 &               0.601 &      980.308 &               0.764 &     1096.079 &               0.808 \\
       61.67 &               0.027 &      178.216 &               0.045 &      293.253 &              -2.098 &      405.505 &               -2.24 &      519.792 &              -2.213 &      633.459 &              -1.434 &      749.232 &              -0.384 &      865.156 &               0.605 &      980.939 &               0.764 &     1096.851 &               0.808 \\
      62.442 &               0.027 &      178.989 &               0.045 &      293.886 &              -2.103 &      406.218 &               -2.24 &      520.425 &              -2.211 &      634.172 &               -1.43 &      750.003 &              -0.375 &      865.788 &               0.607 &      981.712 &               0.764 &     1097.482 &               0.808 \\
      63.156 &               0.028 &      179.703 &               0.046 &      294.576 &              -2.109 &      406.909 &               -2.24 &      521.115 &               -2.21 &      634.864 &              -1.421 &      750.717 &               -0.37 &      866.559 &                0.61 &      982.343 &               0.765 &     1098.255 &               0.809 \\
      63.846 &               0.028 &      180.393 &               0.046 &      295.289 &              -2.114 &      407.541 &              -2.239 &      521.747 &              -2.209 &      635.577 &              -1.417 &       751.42 &              -0.362 &      867.192 &               0.611 &      983.116 &               0.765 &     1098.888 &               0.808 \\
       64.56 &               0.028 &      181.107 &               0.046 &       295.98 &              -2.121 &      408.313 &              -2.239 &      522.519 &              -2.208 &      636.267 &              -1.409 &      752.051 &              -0.358 &      867.964 &               0.615 &      983.747 &               0.766 &      1099.66 &               0.809 \\
       65.25 &               0.028 &      181.798 &               0.046 &      296.612 &              -2.124 &      408.945 &               -2.24 &       523.15 &              -2.207 &       636.98 &              -1.405 &      752.824 &              -0.349 &      868.595 &               0.617 &      984.519 &               0.766 &     1100.372 &               0.809 \\
      65.883 &               0.028 &      182.429 &               0.046 &      297.384 &               -2.13 &      409.718 &              -2.239 &      523.783 &              -2.206 &      637.672 &              -1.397 &      753.456 &              -0.344 &      869.367 &                0.62 &      985.151 &               0.766 &     1101.063 &                0.81 \\
      66.655 &               0.028 &      183.201 &               0.046 &      298.016 &              -2.135 &       410.35 &              -2.239 &      524.474 &              -2.205 &      638.386 &              -1.392 &      754.227 &              -0.335 &          870 &               0.621 &      985.924 &               0.767 &     1101.778 &               0.809 \\
      67.286 &               0.028 &      183.916 &               0.046 &      298.788 &              -2.141 &      411.122 &              -2.239 &      525.105 &              -2.203 &      639.076 &              -1.384 &      754.942 &              -0.331 &      870.772 &               0.625 &      986.556 &               0.767 &     1102.468 &               0.809 \\
      68.059 &               0.028 &      184.606 &               0.046 &       299.42 &              -2.144 &      411.754 &              -2.238 &      525.796 &              -2.201 &      639.708 &               -1.38 &      755.632 &              -0.323 &      871.485 &               0.626 &      987.328 &               0.767 &     1103.182 &                0.81 \\
       68.69 &               0.028 &       185.32 &               0.046 &      300.052 &              -2.147 &      412.386 &              -2.239 &      526.427 &                -2.2 &       640.48 &              -1.372 &      756.345 &              -0.318 &      872.176 &               0.629 &      988.042 &               0.768 &     1103.871 &                0.81 \\
      69.463 &               0.028 &       186.01 &               0.047 &      300.742 &              -2.153 &      413.076 &              -2.238 &        527.2 &              -2.198 &      641.112 &              -1.367 &      757.036 &              -0.309 &      872.808 &                0.63 &      988.732 &               0.768 &     1104.504 &                0.81 \\
      70.177 &               0.029 &      186.724 &               0.046 &      301.374 &              -2.156 &      413.708 &              -2.238 &      527.831 &              -2.195 &      641.884 &               -1.36 &       757.75 &              -0.305 &      873.592 &               0.633 &      989.364 &               0.769 &     1105.275 &                0.81 \\
      70.867 &               0.029 &      187.413 &               0.047 &      302.065 &              -2.162 &      414.398 &              -2.238 &      528.463 &              -2.194 &      642.516 &              -1.355 &      758.441 &              -0.297 &      874.306 &               0.635 &      990.136 &               0.769 &     1105.907 &                0.81 \\
      71.581 &                0.03 &      188.128 &               0.046 &      302.778 &              -2.164 &      415.112 &              -2.238 &      529.154 &              -2.191 &      643.288 &              -1.347 &      759.154 &              -0.292 &      874.996 &               0.636 &      990.768 &               0.769 &      1106.68 &               0.811 \\
      72.272 &                0.03 &      188.818 &               0.047 &      303.468 &              -2.169 &      415.802 &              -2.238 &      529.868 &               -2.19 &       643.92 &              -1.344 &      759.845 &              -0.284 &      875.628 &               0.639 &       991.54 &                0.77 &     1107.312 &               0.811 \\
      72.984 &               0.029 &       189.45 &               0.047 &      304.101 &              -2.173 &      416.435 &              -2.237 &      530.558 &              -2.187 &      644.692 &              -1.335 &      760.477 &              -0.279 &        876.4 &               0.641 &      992.172 &                0.77 &     1108.084 &               0.811 \\
