\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       1.257 &               0.000 &      133.908 &               0.010 &      264.964 &              -2.615 &      393.700 &              -2.582 &      522.900 &              -2.462 &      652.100 &              -1.748 &      782.247 &              -0.948 &      915.269 &              -0.121 &     1047.202 &               0.073 &     1179.203 &               0.111 \\
      26.537 &               0.002 &      159.188 &               0.012 &      289.610 &              -2.607 &      418.428 &              -2.577 &      547.711 &              -2.341 &      676.278 &              -1.602 &      807.524 &              -0.792 &      940.477 &              -0.029 &     1072.479 &               0.084 &     1204.480 &               0.116 \\
      27.170 &               0.002 &      159.960 &               0.012 &      290.243 &              -2.607 &      419.060 &              -2.577 &      548.484 &              -2.337 &      676.992 &              -1.598 &      808.296 &              -0.785 &      941.248 &              -0.027 &     1073.251 &               0.084 &     1205.253 &               0.117 \\
      27.942 &               0.001 &      160.591 &               0.013 &      291.015 &              -2.607 &      419.749 &              -2.577 &      549.197 &              -2.334 &      677.682 &              -1.592 &      809.010 &              -0.783 &      941.880 &              -0.026 &     1073.966 &               0.084 &     1205.886 &               0.117 \\
      28.656 &               0.002 &      161.364 &               0.012 &      291.729 &              -2.607 &      420.383 &              -2.577 &      549.888 &              -2.329 &      678.315 &              -1.590 &      809.701 &              -0.776 &      942.653 &              -0.024 &     1074.656 &               0.084 &     1206.657 &               0.117 \\
      29.346 &               0.002 &      162.078 &               0.012 &      292.419 &              -2.607 &      421.155 &              -2.577 &      550.520 &              -2.327 &      679.087 &              -1.584 &      810.414 &              -0.773 &      943.284 &              -0.023 &     1075.370 &               0.084 &     1207.289 &               0.117 \\
      30.060 &               0.002 &      162.769 &               0.012 &      293.132 &              -2.607 &      421.869 &              -2.576 &      551.152 &              -2.325 &      679.801 &              -1.581 &      811.105 &              -0.767 &      944.058 &              -0.021 &     1076.060 &               0.085 &     1208.061 &               0.117 \\
      30.751 &               0.002 &      163.482 &               0.011 &      293.823 &              -2.607 &      422.559 &              -2.576 &      551.843 &              -2.320 &      680.492 &              -1.575 &      811.737 &              -0.764 &      944.689 &              -0.019 &     1076.773 &               0.085 &     1208.775 &               0.117 \\
      31.383 &               0.002 &      164.254 &               0.013 &      294.456 &              -2.607 &      423.190 &              -2.576 &      552.474 &              -2.317 &      681.123 &              -1.571 &      812.509 &              -0.759 &      945.461 &              -0.018 &     1077.464 &               0.085 &     1209.465 &               0.117 \\
      32.155 &               0.003 &      165.109 &               0.012 &      295.227 &              -2.606 &      423.822 &              -2.576 &      553.164 &              -2.311 &      681.755 &              -1.569 &      813.141 &              -0.756 &      946.175 &              -0.017 &     1078.096 &               0.085 &     1210.097 &               0.118 \\
      32.788 &               0.003 &      165.823 &               0.012 &      295.861 &              -2.606 &      424.513 &              -2.576 &      553.878 &              -2.309 &      682.446 &              -1.563 &      813.914 &              -0.750 &      946.865 &              -0.015 &     1078.869 &               0.085 &     1210.870 &               0.118 \\
      33.559 &               0.002 &      166.514 &               0.013 &      296.633 &              -2.605 &      425.145 &              -2.575 &      554.569 &              -2.304 &      683.159 &              -1.560 &      814.627 &              -0.747 &      947.498 &              -0.014 &     1079.500 &               0.086 &     1211.501 &               0.118 \\
      34.192 &               0.002 &      167.146 &               0.013 &      297.264 &              -2.605 &      425.835 &              -2.575 &      555.201 &              -2.302 &      683.850 &              -1.555 &      815.318 &              -0.741 &      948.270 &              -0.012 &     1080.273 &               0.087 &     1212.273 &               0.118 \\
      34.964 &               0.003 &      167.918 &               0.013 &      298.037 &              -2.605 &      426.467 &              -2.575 &      555.833 &              -2.299 &      684.704 &              -1.549 &      816.032 &              -0.738 &      948.902 &              -0.011 &     1080.905 &               0.085 &     1212.907 &               0.118 \\
      35.597 &               0.003 &      168.550 &               0.013 &      298.669 &              -2.605 &      427.240 &              -2.575 &      556.524 &              -2.294 &      685.337 &              -1.547 &      816.722 &              -0.732 &      949.674 &              -0.009 &     1081.677 &               0.086 &     1213.678 &               0.119 \\
      36.368 &               0.003 &      169.323 &               0.012 &      299.301 &              -2.605 &      427.953 &              -2.575 &      557.156 &              -2.292 &      686.109 &              -1.540 &      817.354 &              -0.729 &      950.388 &              -0.008 &     1082.390 &               0.086 &     1214.309 &               0.119 \\
      37.001 &               0.003 &      170.037 &               0.012 &      299.992 &              -2.605 &      428.644 &              -2.575 &      557.845 &              -2.287 &      686.740 &              -1.538 &      818.127 &              -0.724 &      951.079 &              -0.007 &     1083.081 &               0.087 &     1215.083 &               0.118 \\
      37.772 &               0.003 &      170.728 &               0.013 &      300.705 &              -2.605 &      429.359 &              -2.575 &      558.477 &              -2.285 &      687.513 &              -1.532 &      818.759 &              -0.721 &      951.710 &              -0.006 &     1083.713 &               0.087 &     1215.714 &               0.118 \\
      38.487 &               0.003 &      171.359 &               0.013 &      301.396 &              -2.604 &      430.048 &              -2.575 &      559.251 &              -2.279 &      688.145 &              -1.529 &      819.530 &              -0.715 &      952.482 &              -0.004 &     1084.485 &               0.087 &     1216.486 &               0.119 \\
      39.177 &               0.004 &      172.132 &               0.013 &      302.028 &              -2.605 &      430.762 &              -2.574 &      559.881 &              -2.277 &      688.917 &              -1.524 &      820.163 &              -0.712 &      953.115 &              -0.004 &     1085.117 &               0.087 &     1217.119 &               0.119 \\
      39.891 &               0.004 &      172.846 &               0.012 &      302.718 &              -2.604 &      431.453 &              -2.574 &      560.513 &              -2.274 &      689.550 &              -1.521 &      820.935 &              -0.705 &      953.887 &              -0.001 &     1085.889 &               0.087 &     1217.891 &               0.119 \\
      40.582 &               0.003 &      173.536 &               0.013 &      303.350 &              -2.604 &      432.085 &              -2.574 &      561.205 &              -2.269 &      690.181 &              -1.518 &      821.649 &              -0.703 &      954.520 &              -0.001 &     1086.521 &               0.088 &     1218.523 &               0.119 \\
      41.214 &               0.002 &      174.168 &               0.013 &      303.983 &              -2.603 &      432.717 &              -2.574 &      561.837 &              -2.267 &      690.871 &              -1.512 &      822.340 &              -0.698 &      955.292 &               0.001 &     1087.294 &               0.088 &     1219.295 &               0.119 \\
      41.987 &               0.003 &      174.940 &               0.013 &      304.673 &              -2.604 &      433.408 &              -2.574 &      562.527 &              -2.262 &      691.504 &              -1.509 &      822.971 &              -0.695 &      955.923 &               0.001 &     1087.926 &               0.088 &     1220.009 &               0.119 \\
      42.619 &               0.003 &      175.572 &               0.013 &      305.305 &              -2.603 &      434.039 &              -2.574 &      563.241 &              -2.258 &      692.194 &              -1.503 &      823.744 &              -0.689 &      956.696 &               0.002 &     1088.698 &               0.089 &     1220.699 &               0.120 \\
      43.391 &               0.004 &      176.345 &               0.013 &      305.995 &              -2.603 &      434.730 &              -2.574 &      563.931 &              -2.254 &      692.826 &              -1.501 &      824.375 &              -0.685 &      957.328 &               0.004 &     1089.331 &               0.089 &     1221.330 &               0.119 \\
      44.023 &               0.003 &      177.058 &               0.013 &      306.626 &              -2.604 &      435.362 &              -2.573 &      564.645 &              -2.251 &      693.598 &              -1.495 &      825.148 &              -0.680 &      958.100 &               0.004 &     1090.102 &               0.090 &     1222.104 &               0.120 \\
      44.796 &               0.004 &      177.748 &               0.014 &      307.399 &              -2.604 &      436.134 &              -2.573 &      565.336 &              -2.246 &      694.230 &              -1.492 &      825.781 &              -0.677 &      958.732 &               0.005 &     1090.734 &               0.090 &     1222.736 &               0.120 \\
      45.427 &               0.003 &      178.463 &               0.014 &      308.031 &              -2.603 &      436.849 &              -2.573 &      565.967 &              -2.244 &      695.002 &              -1.486 &      826.552 &              -0.670 &      959.504 &               0.008 &     1091.507 &               0.089 &     1223.507 &               0.120 \\
      46.200 &               0.003 &      179.154 &               0.014 &      308.664 &              -2.602 &      437.539 &              -2.573 &      566.740 &              -2.239 &      695.635 &              -1.483 &      827.185 &              -0.669 &      960.136 &               0.008 &     1092.138 &               0.090 &     1224.221 &               0.120 \\
      46.914 &               0.004 &      179.867 &               0.014 &      309.354 &              -2.601 &      438.253 &              -2.573 &      567.372 &              -2.236 &      696.407 &              -1.477 &      827.956 &              -0.662 &      960.908 &               0.010 &     1092.911 &               0.090 &     1224.912 &               0.120 \\
      47.604 &               0.003 &      180.558 &               0.013 &      309.985 &              -2.603 &      438.943 &              -2.572 &      568.144 &              -2.231 &      697.121 &              -1.475 &      828.589 &              -0.659 &      961.622 &               0.011 &     1093.543 &               0.090 &     1225.544 &               0.120 \\
      48.236 &               0.004 &      181.191 &               0.013 &      310.676 &              -2.602 &      439.657 &              -2.572 &      568.858 &              -2.229 &      697.812 &              -1.469 &      829.361 &              -0.653 &      962.312 &               0.011 &     1094.316 &               0.089 &     1226.316 &               0.121 \\
      49.009 &               0.004 &      181.963 &               0.014 &      311.308 &              -2.601 &      440.347 &              -2.572 &      569.548 &              -2.224 &      698.526 &              -1.466 &      829.993 &              -0.651 &      963.028 &               0.012 &     1094.947 &               0.090 &     1226.948 &               0.121 \\
      49.641 &               0.004 &      182.676 &               0.014 &      312.081 &              -2.601 &      441.061 &              -2.572 &      570.263 &              -2.221 &      699.216 &              -1.460 &      830.765 &              -0.645 &      963.717 &               0.013 &     1095.719 &               0.091 &     1227.721 &               0.121 \\
      50.414 &               0.004 &      183.367 &               0.014 &      312.712 &              -2.602 &      441.751 &              -2.571 &      570.954 &              -2.216 &      699.929 &              -1.457 &      831.479 &              -0.642 &      964.431 &               0.014 &     1096.352 &               0.091 &     1228.352 &               0.121 \\
      51.046 &               0.004 &      184.080 &               0.014 &      313.485 &              -2.601 &      442.385 &              -2.572 &      571.585 &              -2.214 &      700.620 &              -1.452 &      832.170 &              -0.636 &      965.121 &               0.015 &     1097.124 &               0.092 &     1229.124 &               0.121 \\
      51.818 &               0.004 &      184.771 &               0.013 &      314.117 &              -2.602 &      443.156 &              -2.572 &      572.357 &              -2.209 &      701.252 &              -1.449 &      832.883 &              -0.633 &      965.835 &               0.016 &     1097.838 &               0.092 &     1229.757 &               0.121 \\
      52.532 &               0.004 &      185.485 &               0.014 &      314.749 &              -2.601 &      443.870 &              -2.572 &      573.071 &              -2.206 &      702.024 &              -1.443 &      833.573 &              -0.627 &      966.525 &               0.017 &     1098.528 &               0.092 &     1230.529 &               0.121 \\
      53.222 &               0.004 &      186.175 &              -0.006 &      315.440 &              -2.601 &      444.560 &              -2.572 &      573.761 &              -2.201 &      702.656 &              -1.440 &      834.288 &              -0.625 &      967.158 &               0.017 &     1099.242 &               0.092 &     1231.161 &               0.121 \\
      53.854 &               0.004 &      186.807 &              -0.029 &      316.153 &              -2.602 &      445.193 &              -2.572 &      574.394 &              -2.198 &      703.429 &              -1.435 &      834.978 &              -0.619 &      967.930 &               0.018 &     1099.933 &               0.092 &     1231.934 &               0.122 \\
      54.627 &               0.004 &      187.567 &              -0.087 &      316.844 &              -2.601 &      445.966 &              -2.571 &      575.166 &              -2.193 &      704.061 &              -1.432 &      835.610 &              -0.615 &      968.561 &               0.019 &     1100.646 &               0.092 &     1232.565 &               0.122 \\
      55.341 &               0.004 &      188.201 &              -0.132 &      317.476 &              -2.600 &      446.678 &              -2.571 &      575.798 &              -2.190 &      704.833 &              -1.426 &      836.383 &              -0.610 &      969.335 &               0.021 &     1101.337 &               0.093 &     1233.337 &               0.122 \\
      56.032 &               0.004 &      188.973 &              -0.245 &      318.167 &              -2.601 &      447.370 &              -2.571 &      576.431 &              -2.187 &      705.546 &              -1.424 &      837.097 &              -0.607 &      969.966 &               0.021 &     1101.968 &               0.093 &     1233.970 &               0.122 \\
      56.663 &               0.004 &      189.686 &              -0.304 &      318.881 &              -2.600 &      448.002 &              -2.570 &      577.120 &              -2.183 &      706.237 &              -1.417 &      837.787 &              -0.601 &      970.738 &               0.022 &     1102.741 &               0.093 &     1234.742 &               0.123 \\
      57.436 &               0.004 &      190.376 &              -0.427 &      319.571 &              -2.600 &      448.774 &              -2.570 &      577.834 &              -2.180 &      706.869 &              -1.414 &      838.501 &              -0.598 &      971.453 &               0.022 &     1103.455 &               0.094 &     1235.374 &               0.122 \\
      58.068 &               0.005 &      191.010 &              -0.491 &      320.285 &              -2.600 &      449.405 &              -2.571 &      578.443 &              -2.175 &      707.642 &              -1.409 &      839.191 &              -0.592 &      972.142 &               0.023 &     1104.146 &               0.093 &     1236.146 &               0.122 \\
      58.840 &               0.005 &      191.781 &              -0.620 &      320.978 &              -2.600 &      450.178 &              -2.570 &      579.157 &              -2.172 &      708.274 &              -1.406 &      839.823 &              -0.589 &      972.775 &               0.024 &     1104.778 &               0.093 &     1236.778 &               0.123 \\
      59.553 &               0.005 &      192.414 &              -0.686 &      321.608 &              -2.599 &      450.893 &              -2.570 &      579.847 &              -2.167 &      709.046 &              -1.400 &      840.595 &              -0.583 &      973.547 &               0.025 &     1105.550 &               0.093 &     1237.550 &               0.123 \\
      60.245 &               0.005 &      193.186 &              -0.820 &      322.379 &              -2.599 &      451.582 &              -2.571 &      580.480 &              -2.165 &      709.760 &              -1.397 &      841.228 &              -0.580 &      974.178 &               0.026 &     1106.182 &               0.094 &     1238.181 &               0.123 \\
      60.876 &               0.005 &      193.900 &              -0.888 &      323.012 &              -2.599 &      452.215 &              -2.569 &      581.252 &              -2.159 &      710.450 &              -1.392 &      842.000 &              -0.575 &      974.952 &               0.027 &     1106.954 &               0.094 &     1238.954 &               0.123 \\
      61.649 &               0.005 &      194.591 &              -1.017 &      323.784 &              -2.599 &      452.987 &              -2.569 &      581.884 &              -2.156 &      711.082 &              -1.388 &      842.631 &              -0.571 &      975.583 &               0.027 &     1107.586 &               0.094 &     1239.586 &               0.122 \\
      62.281 &               0.004 &      195.222 &              -1.081 &      324.498 &              -2.599 &      453.619 &              -2.570 &      582.515 &              -2.155 &      711.855 &              -1.383 &      843.404 &              -0.566 &      976.356 &               0.028 &     1108.358 &               0.094 &     1240.359 &               0.123 \\
      63.054 &               0.005 &      195.994 &              -1.205 &      325.188 &              -2.598 &      454.250 &              -2.569 &      583.205 &              -2.148 &      712.487 &              -1.380 &      844.035 &              -0.563 &      977.070 &               0.029 &     1108.990 &               0.095 &     1240.991 &               0.123 \\
      63.685 &               0.004 &      196.626 &              -1.266 &      325.820 &              -2.598 &      454.940 &              -2.569 &      583.838 &              -2.146 &      713.118 &              -1.378 &      844.809 &              -0.557 &      977.759 &               0.030 &     1109.762 &               0.095 &     1241.763 &               0.123 \\
      64.458 &               0.005 &      197.388 &              -1.385 &      326.593 &              -2.598 &      455.573 &              -2.569 &      584.528 &              -2.141 &      713.809 &              -1.372 &      845.440 &              -0.554 &      978.395 &               0.031 &     1110.394 &               0.095 &     1242.395 &               0.123 \\
      65.090 &               0.005 &      198.102 &              -1.442 &      327.224 &              -2.598 &      456.264 &              -2.569 &      585.160 &              -2.138 &      714.441 &              -1.368 &      846.212 &              -0.549 &      979.164 &               0.031 &     1111.167 &               0.095 &     1243.166 &               0.124 \\
      65.862 &               0.005 &      198.792 &              -1.552 &      327.996 &              -2.598 &      456.895 &              -2.569 &      585.933 &              -2.132 &      715.131 &              -1.363 &      846.845 &              -0.546 &      979.878 &               0.031 &     1111.798 &               0.095 &     1243.799 &               0.124 \\
      66.494 &               0.005 &      199.505 &              -1.604 &      328.711 &              -2.598 &      457.668 &              -2.569 &      586.646 &              -2.130 &      715.763 &              -1.361 &      847.616 &              -0.540 &      980.569 &               0.032 &     1112.570 &               0.095 &     1244.572 &               0.124 \\
      67.267 &               0.005 &      200.196 &              -1.702 &      329.401 &              -2.597 &      458.300 &              -2.569 &      587.337 &              -2.125 &      716.536 &              -1.355 &      848.330 &              -0.536 &      981.200 &               0.033 &     1113.203 &               0.096 &     1245.204 &               0.124 \\
      67.899 &               0.005 &      200.910 &              -1.749 &      330.033 &              -2.597 &      459.072 &              -2.569 &      587.969 &              -2.122 &      717.168 &              -1.351 &      849.021 &              -0.530 &      981.973 &               0.034 &     1113.975 &               0.096 &     1245.976 &               0.124 \\
      68.671 &               0.004 &      201.601 &              -1.838 &      330.665 &              -2.597 &      459.705 &              -2.568 &      588.741 &              -2.117 &      717.940 &              -1.346 &      849.653 &              -0.528 &      982.688 &               0.033 &     1114.689 &               0.097 &     1246.608 &               0.124 \\
      69.304 &               0.005 &      202.315 &              -1.879 &      331.356 &              -2.597 &      460.477 &              -2.568 &      589.374 &              -2.115 &      718.654 &              -1.343 &      850.426 &              -0.521 &      983.377 &               0.035 &     1115.380 &               0.096 &     1247.380 &               0.125 \\
      70.075 &               0.006 &      203.005 &              -1.957 &      331.987 &              -2.597 &      461.108 &              -2.567 &      590.147 &              -2.109 &      719.345 &              -1.337 &      851.057 &              -0.518 &      984.009 &               0.035 &     1116.012 &               0.097 &     1248.093 &               0.124 \\
      70.789 &               0.006 &      203.719 &              -1.993 &      332.678 &              -2.597 &      461.881 &              -2.568 &      590.777 &              -2.107 &      719.976 &              -1.334 &      851.830 &              -0.512 &      984.781 &               0.035 &     1116.784 &               0.097 &     1248.784 &               0.125 \\
      71.479 &               0.005 &      204.410 &              -2.061 &      333.311 &              -2.597 &      462.513 &              -2.568 &      591.550 &              -2.102 &      720.609 &              -1.331 &      852.543 &              -0.510 &      985.414 &               0.037 &     1117.415 &               0.097 &     1249.416 &               0.125 \\
      72.194 &               0.005 &      205.041 &              -2.092 &      334.083 &              -2.596 &      463.145 &              -2.567 &      592.182 &              -2.098 &      721.299 &              -1.325 &      853.234 &              -0.504 &      986.186 &               0.037 &     1118.188 &               0.097 &     1250.188 &               0.125 \\
