\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       1.221 &               0.001 &      113.808 &               0.023 &      219.515 &              -1.270 &      332.264 &              -1.317 &      441.046 &              -1.294 &      535.011 &              -0.895 &      629.044 &              -0.292 &      723.091 &               0.236 &      817.124 &               0.333 &      911.158 &               0.372 \\
      12.754 &               0.003 &      128.555 &               0.026 &      233.550 &              -1.323 &      344.894 &              -1.314 &      452.275 &              -1.286 &      546.239 &              -0.827 &      640.272 &              -0.217 &      734.400 &               0.258 &      828.352 &               0.340 &      922.386 &               0.376 \\
      13.690 &               0.003 &      129.246 &               0.025 &      234.486 &              -1.325 &      345.830 &              -1.314 &      452.965 &              -1.283 &      547.011 &              -0.821 &      641.044 &              -0.209 &      735.090 &               0.260 &      829.124 &               0.340 &      923.158 &               0.376 \\
      14.625 &               0.004 &      129.959 &               0.026 &      235.422 &              -1.326 &      346.766 &              -1.313 &      453.596 &              -1.283 &      547.642 &              -0.818 &      641.676 &              -0.207 &      735.722 &               0.261 &      829.837 &               0.341 &      923.789 &               0.377 \\
      15.562 &               0.003 &      130.649 &               0.025 &      236.357 &              -1.328 &      347.480 &              -1.314 &      454.368 &              -1.282 &      548.414 &              -0.812 &      642.448 &              -0.201 &      736.494 &               0.262 &      830.528 &               0.340 &      924.561 &               0.377 \\
      16.497 &               0.004 &      131.281 &               0.026 &      237.293 &              -1.329 &      348.252 &              -1.314 &      454.999 &              -1.281 &      549.046 &              -0.810 &      643.080 &              -0.198 &      737.125 &               0.262 &      831.242 &               0.341 &      925.192 &               0.377 \\
      17.433 &               0.004 &      132.052 &               0.026 &      238.229 &              -1.330 &      349.105 &              -1.313 &      455.771 &              -1.279 &      549.818 &              -0.805 &      643.852 &              -0.191 &      737.898 &               0.264 &      831.931 &               0.341 &      925.965 &               0.378 \\
      18.368 &               0.004 &      132.684 &               0.026 &      239.164 &              -1.331 &      350.040 &              -1.314 &      456.403 &              -1.278 &      550.449 &              -0.801 &      644.483 &              -0.188 &      738.611 &               0.265 &      832.563 &               0.342 &      926.596 &               0.377 \\
      19.304 &               0.004 &      133.456 &               0.027 &      240.099 &              -1.331 &      350.754 &              -1.313 &      457.175 &              -1.276 &      551.221 &              -0.795 &      645.255 &              -0.182 &      739.301 &               0.265 &      833.335 &               0.342 &      927.368 &               0.378 \\
      20.239 &               0.005 &      134.170 &               0.027 &      241.035 &              -1.332 &      351.608 &              -1.313 &      457.806 &              -1.275 &      551.853 &              -0.793 &      645.886 &              -0.179 &      739.933 &               0.267 &      833.966 &               0.343 &      927.999 &               0.379 \\
      21.175 &               0.004 &      134.859 &               0.027 &      241.971 &              -1.333 &      352.380 &              -1.313 &      458.578 &              -1.272 &      552.624 &              -0.787 &      646.658 &              -0.172 &      740.704 &               0.268 &      834.738 &               0.343 &      928.772 &               0.378 \\
      21.889 &               0.005 &      135.492 &               0.026 &      242.907 &              -1.333 &      353.093 &              -1.312 &      459.292 &              -1.271 &      553.255 &              -0.784 &      647.290 &              -0.169 &      741.336 &               0.268 &      835.369 &               0.343 &      929.403 &               0.378 \\
      22.661 &               0.006 &      136.263 &               0.027 &      243.842 &              -1.334 &      353.866 &              -1.312 &      459.982 &              -1.269 &      554.028 &              -0.778 &      648.062 &              -0.163 &      742.108 &               0.270 &      836.141 &               0.344 &      930.175 &               0.378 \\
      23.514 &               0.005 &      136.895 &               0.027 &      244.778 &              -1.334 &      354.719 &              -1.313 &      460.613 &              -1.267 &      554.659 &              -0.776 &      648.694 &              -0.160 &      742.821 &               0.271 &      836.773 &               0.344 &      930.807 &               0.379 \\
      24.449 &               0.005 &      137.668 &               0.027 &      245.491 &              -1.334 &      355.432 &              -1.312 &      461.386 &              -1.264 &      555.431 &              -0.769 &      649.466 &              -0.152 &      743.512 &               0.272 &      837.545 &               0.344 &      931.578 &               0.380 \\
      25.386 &               0.005 &      138.298 &               0.028 &      246.346 &              -1.334 &      356.286 &              -1.312 &      462.017 &              -1.263 &      556.144 &              -0.767 &      650.098 &              -0.150 &      744.143 &               0.273 &      838.177 &               0.345 &      932.211 &               0.380 \\
      26.099 &               0.006 &      139.070 &               0.027 &      247.199 &              -1.334 &      357.058 &              -1.312 &      462.789 &              -1.261 &      556.836 &              -0.761 &      650.869 &              -0.143 &      744.915 &               0.273 &      838.949 &               0.344 &      932.981 &               0.380 \\
      26.871 &               0.005 &      139.702 &               0.028 &      248.052 &              -1.334 &      357.995 &              -1.311 &      463.421 &              -1.259 &      557.467 &              -0.759 &      651.500 &              -0.140 &      745.627 &               0.275 &      839.580 &               0.345 &      933.614 &               0.381 \\
      27.725 &               0.006 &      140.474 &               0.028 &      248.989 &              -1.335 &      358.708 &              -1.311 &      464.192 &              -1.255 &      558.238 &              -0.752 &      652.273 &              -0.134 &      746.319 &               0.276 &      840.352 &               0.345 &      934.386 &               0.380 \\
      28.660 &               0.006 &      141.106 &               0.027 &      249.702 &              -1.335 &      359.562 &              -1.311 &      464.825 &              -1.254 &      558.952 &              -0.749 &      652.986 &              -0.130 &      746.949 &               0.276 &      840.984 &               0.346 &      935.017 &               0.380 \\
      29.596 &               0.006 &      141.878 &               0.028 &      250.474 &              -1.335 &      360.334 &              -1.312 &      465.596 &              -1.251 &      559.642 &              -0.743 &      653.676 &              -0.124 &      747.722 &               0.277 &      841.755 &               0.346 &      935.789 &               0.380 \\
      30.532 &               0.007 &      142.509 &               0.029 &      251.328 &              -1.335 &      361.269 &              -1.311 &      466.227 &              -1.249 &      560.273 &              -0.741 &      654.308 &              -0.122 &      748.354 &               0.278 &      842.386 &               0.346 &      936.421 &               0.380 \\
      31.467 &               0.007 &      143.281 &               0.026 &      252.041 &              -1.336 &      362.205 &              -1.310 &      466.999 &              -1.245 &      561.046 &              -0.735 &      655.080 &              -0.115 &      749.126 &               0.279 &      843.158 &               0.347 &      937.192 &               0.381 \\
      32.180 &               0.007 &      143.912 &               0.016 &      252.813 &              -1.335 &      363.140 &              -1.311 &      467.712 &              -1.244 &      561.677 &              -0.732 &      655.711 &              -0.112 &      749.839 &               0.280 &      843.791 &               0.347 &      937.825 &               0.381 \\
      33.035 &               0.007 &      144.683 &              -0.013 &      253.666 &              -1.334 &      364.077 &              -1.310 &      468.403 &              -1.240 &      562.449 &              -0.725 &      656.482 &              -0.106 &      750.528 &               0.281 &      844.562 &               0.348 &      938.596 &               0.382 \\
      33.807 &               0.008 &      145.397 &              -0.027 &      254.381 &              -1.335 &      365.011 &              -1.310 &      469.035 &              -1.238 &      563.081 &              -0.723 &      657.197 &              -0.103 &      751.242 &               0.282 &      845.194 &               0.347 &      939.228 &               0.381 \\
      34.743 &               0.008 &      146.088 &              -0.062 &      255.152 &              -1.334 &      365.948 &              -1.309 &      469.807 &              -1.235 &      563.852 &              -0.716 &      657.887 &              -0.096 &      751.932 &               0.282 &      845.966 &               0.348 &      940.000 &               0.381 \\
      35.678 &               0.008 &      146.708 &              -0.080 &      256.006 &              -1.335 &      366.661 &              -1.310 &      470.438 &              -1.232 &      564.484 &              -0.714 &      658.518 &              -0.093 &      752.645 &               0.283 &      846.598 &               0.348 &      940.631 &               0.382 \\
      36.613 &               0.008 &      147.479 &              -0.116 &      256.638 &              -1.334 &      367.351 &              -1.309 &      471.209 &              -1.229 &      565.255 &              -0.708 &      659.290 &              -0.086 &      753.336 &               0.284 &      847.370 &               0.349 &      941.403 &               0.382 \\
      37.328 &               0.007 &      148.111 &              -0.136 &      257.492 &              -1.334 &      368.286 &              -1.309 &      471.841 &              -1.227 &      565.970 &              -0.704 &      659.922 &              -0.084 &      754.050 &               0.286 &      848.001 &               0.349 &      942.035 &               0.382 \\
      38.180 &               0.009 &      148.882 &              -0.172 &      258.345 &              -1.335 &      368.999 &              -1.308 &      472.613 &              -1.223 &      566.660 &              -0.699 &      660.694 &              -0.078 &      754.739 &               0.286 &      848.773 &               0.349 &      942.807 &               0.383 \\
      38.953 &               0.008 &      149.596 &              -0.190 &      259.280 &              -1.334 &      369.853 &              -1.309 &      473.245 &              -1.221 &      567.290 &              -0.696 &      661.406 &              -0.074 &      755.453 &               0.287 &      849.486 &               0.350 &      943.439 &               0.383 \\
      39.889 &               0.009 &      150.287 &              -0.225 &      259.995 &              -1.333 &      370.708 &              -1.309 &      474.016 &              -1.216 &      568.063 &              -0.690 &      662.109 &              -0.068 &      756.142 &               0.287 &      850.177 &               0.351 &      944.209 &               0.383 \\
      40.824 &               0.009 &      150.918 &              -0.243 &      260.684 &              -1.334 &      371.561 &              -1.309 &      474.648 &              -1.215 &      568.695 &              -0.688 &      662.741 &              -0.066 &      756.774 &               0.288 &      850.808 &               0.350 &      944.841 &               0.384 \\
      41.761 &               0.009 &      151.690 &              -0.275 &      261.398 &              -1.334 &      372.497 &              -1.308 &      475.421 &              -1.210 &      569.467 &              -0.681 &      663.513 &              -0.059 &      757.546 &               0.289 &      851.580 &               0.351 &      945.614 &               0.384 \\
      42.695 &               0.009 &      152.322 &              -0.291 &      262.088 &              -1.333 &      373.432 &              -1.308 &      476.053 &              -1.209 &      570.098 &              -0.679 &      664.226 &              -0.056 &      758.178 &               0.290 &      852.293 &               0.351 &      946.245 &               0.384 \\
      43.408 &               0.009 &      153.094 &              -0.323 &      262.720 &              -1.334 &      374.368 &              -1.308 &      476.824 &              -1.204 &      570.869 &              -0.673 &      664.916 &              -0.048 &      758.950 &               0.290 &      852.983 &               0.352 &      947.017 &               0.384 \\
      44.180 &               0.009 &      153.807 &              -0.338 &      263.492 &              -1.333 &      375.304 &              -1.308 &      477.537 &              -1.203 &      571.501 &              -0.670 &      665.547 &              -0.046 &      759.582 &               0.291 &      853.614 &               0.352 &      947.649 &               0.384 \\
      45.036 &               0.010 &      154.497 &              -0.367 &      264.205 &              -1.333 &      376.240 &              -1.308 &      478.227 &              -1.198 &      572.273 &              -0.663 &      666.319 &              -0.039 &      760.354 &               0.291 &      854.387 &               0.352 &      948.420 &               0.384 \\
      45.666 &               0.010 &      155.128 &              -0.380 &      264.894 &              -1.333 &      377.176 &              -1.307 &      478.940 &              -1.196 &      572.905 &              -0.660 &      666.951 &              -0.036 &      760.984 &               0.292 &      855.018 &               0.352 &      949.053 &               0.383 \\
      46.438 &               0.011 &      155.901 &              -0.407 &      265.609 &              -1.333 &      377.889 &              -1.307 &      479.631 &              -1.191 &      573.677 &              -0.655 &      667.722 &              -0.030 &      761.756 &               0.293 &      855.791 &               0.352 &      949.824 &               0.384 \\
      47.374 &               0.010 &      156.532 &              -0.420 &      266.299 &              -1.332 &      378.660 &              -1.306 &      480.263 &              -1.189 &      574.309 &              -0.651 &      668.355 &              -0.026 &      762.388 &               0.294 &      856.504 &               0.353 &      950.456 &               0.385 \\
      48.310 &               0.011 &      157.305 &              -0.446 &      267.012 &              -1.332 &      379.515 &              -1.307 &      481.035 &              -1.184 &      575.081 &              -0.646 &      669.126 &              -0.020 &      763.160 &               0.294 &      857.194 &               0.353 &      951.227 &               0.385 \\
      49.246 &               0.010 &      157.936 &              -0.457 &      267.702 &              -1.332 &      380.227 &              -1.307 &      481.667 &              -1.183 &      575.712 &              -0.643 &      669.758 &              -0.016 &      763.792 &               0.295 &      857.825 &               0.354 &      951.859 &               0.385 \\
      50.181 &               0.011 &      158.708 &              -0.479 &      268.415 &              -1.331 &      380.918 &              -1.307 &      482.438 &              -1.178 &      576.484 &              -0.637 &      670.529 &              -0.009 &      764.564 &               0.296 &      858.597 &               0.354 &      952.631 &               0.385 \\
      51.116 &               0.011 &      159.339 &              -0.490 &      269.106 &              -1.332 &      381.631 &              -1.306 &      483.069 &              -1.176 &      577.197 &              -0.633 &      671.243 &              -0.007 &      765.195 &               0.296 &      859.229 &               0.354 &      953.263 &               0.385 \\
      52.052 &               0.011 &      160.111 &              -0.511 &      269.819 &              -1.332 &      382.403 &              -1.305 &      483.841 &              -1.172 &      577.887 &              -0.627 &      671.933 &               0.000 &      765.967 &               0.298 &      860.001 &               0.354 &      954.034 &               0.386 \\
      52.988 &               0.012 &      160.743 &              -0.521 &      270.509 &              -1.331 &      383.257 &              -1.305 &      484.473 &              -1.169 &      578.601 &              -0.625 &      672.565 &               0.002 &      766.599 &               0.298 &      860.633 &               0.355 &      954.666 &               0.385 \\
      53.923 &               0.011 &      161.514 &              -0.541 &      271.223 &              -1.331 &      383.970 &              -1.306 &      485.245 &              -1.165 &      579.291 &              -0.619 &      673.337 &               0.009 &      767.371 &               0.299 &      861.405 &               0.355 &      955.438 &               0.386 \\
      54.638 &               0.011 &      162.146 &              -0.551 &      271.913 &              -1.332 &      384.661 &              -1.305 &      485.958 &              -1.163 &      580.005 &              -0.616 &      674.050 &               0.013 &      768.002 &               0.300 &      862.036 &               0.355 &      956.152 &               0.386 \\
      55.491 &               0.012 &      162.919 &              -0.570 &      272.626 &              -1.331 &      385.374 &              -1.305 &      486.648 &              -1.158 &      580.694 &              -0.609 &      674.741 &               0.019 &      768.774 &               0.299 &      862.809 &               0.355 &      956.841 &               0.386 \\
      56.263 &               0.012 &      163.550 &              -0.580 &      273.480 &              -1.331 &      386.227 &              -1.305 &      487.280 &              -1.156 &      581.326 &              -0.606 &      675.371 &               0.022 &      769.405 &               0.300 &      863.522 &               0.356 &      957.473 &               0.386 \\
      57.198 &               0.012 &      164.322 &              -0.598 &      274.334 &              -1.331 &      387.000 &              -1.305 &      488.052 &              -1.151 &      582.098 &              -0.600 &      676.144 &               0.028 &      770.178 &               0.301 &      864.211 &               0.356 &      958.245 &               0.387 \\
      58.134 &               0.013 &      164.953 &              -0.607 &      275.187 &              -1.330 &      387.936 &              -1.305 &      488.683 &              -1.149 &      582.729 &              -0.596 &      676.776 &               0.031 &      770.891 &               0.302 &      864.843 &               0.356 &      958.877 &               0.387 \\
      58.848 &               0.012 &      165.725 &              -0.624 &      276.122 &              -1.331 &      388.871 &              -1.305 &      489.456 &              -1.144 &      583.501 &              -0.591 &      677.547 &               0.037 &      771.582 &               0.302 &      865.615 &               0.356 &      959.649 &               0.387 \\
      59.620 &               0.013 &      166.356 &              -0.634 &      276.837 &              -1.331 &      389.807 &              -1.304 &      490.087 &              -1.141 &      584.133 &              -0.588 &      678.178 &               0.041 &      772.213 &               0.303 &      866.328 &               0.356 &      960.280 &               0.387 \\
      60.473 &               0.013 &      167.129 &              -0.650 &      277.527 &              -1.330 &      390.742 &              -1.304 &      490.859 &              -1.136 &      584.905 &              -0.582 &      678.951 &               0.047 &      772.984 &               0.303 &      867.018 &               0.357 &      961.052 &               0.388 \\
      61.409 &               0.013 &      167.761 &              -0.659 &      278.239 &              -1.330 &      391.678 &              -1.304 &      491.491 &              -1.134 &      585.537 &              -0.578 &      679.582 &               0.049 &      773.616 &               0.304 &      867.650 &               0.358 &      961.683 &               0.387 \\
      62.123 &               0.013 &      168.532 &              -0.675 &      279.011 &              -1.330 &      392.392 &              -1.303 &      492.263 &              -1.130 &      586.309 &              -0.573 &      680.355 &               0.056 &      774.388 &               0.305 &      868.422 &               0.357 &      962.455 &               0.389 \\
      62.894 &               0.013 &      169.164 &              -0.684 &      279.866 &              -1.329 &      393.081 &              -1.304 &      492.975 &              -1.127 &      586.940 &              -0.569 &      680.986 &               0.059 &      775.020 &               0.305 &      869.054 &               0.358 &      963.087 &               0.388 \\
      63.749 &               0.013 &      169.937 &              -0.699 &      280.802 &              -1.329 &      394.017 &              -1.303 &      493.666 &              -1.122 &      587.711 &              -0.563 &      681.757 &               0.065 &      775.792 &               0.306 &      869.825 &               0.359 &      963.859 &               0.388 \\
      64.684 &               0.014 &      170.567 &              -0.707 &      281.737 &              -1.329 &      394.953 &              -1.303 &      494.297 &              -1.120 &      588.425 &              -0.561 &      682.472 &               0.069 &      776.424 &               0.306 &      870.457 &               0.359 &      964.572 &               0.388 \\
      65.620 &               0.014 &      171.339 &              -0.721 &      282.673 &              -1.329 &      395.889 &              -1.303 &      495.069 &              -1.116 &      589.115 &              -0.554 &      683.161 &               0.075 &      777.195 &               0.307 &      871.229 &               0.359 &      965.263 &               0.389 \\
      66.555 &               0.014 &      171.971 &              -0.729 &      283.609 &              -1.328 &      396.824 &              -1.304 &      495.701 &              -1.113 &      589.747 &              -0.552 &      683.793 &               0.078 &      777.827 &               0.308 &      871.861 &               0.359 &      965.894 &               0.389 \\
      67.491 &               0.014 &      172.743 &              -0.744 &      284.545 &              -1.328 &      397.760 &              -1.303 &      496.473 &              -1.108 &      590.519 &              -0.546 &      684.565 &               0.084 &      778.598 &               0.308 &      872.632 &               0.359 &      966.666 &               0.388 \\
      68.427 &               0.014 &      173.374 &              -0.750 &      285.479 &              -1.328 &      398.695 &              -1.302 &      497.104 &              -1.106 &      591.150 &              -0.543 &      685.197 &               0.087 &      779.230 &               0.308 &      873.345 &               0.360 &      967.380 &               0.389 \\
      69.363 &               0.014 &      174.147 &              -0.764 &      286.415 &              -1.328 &      399.410 &              -1.302 &      497.876 &              -1.101 &      591.922 &              -0.537 &      685.969 &               0.093 &      780.002 &               0.310 &      874.036 &               0.360 &      968.069 &               0.390 \\
      70.298 &               0.015 &      174.778 &              -0.770 &      287.351 &              -1.328 &      400.263 &              -1.302 &      498.508 &              -1.098 &      592.636 &              -0.535 &      686.600 &               0.097 &      780.633 &               0.310 &      874.668 &               0.360 &      968.701 &               0.389 \\
      71.234 &               0.015 &      175.550 &              -0.785 &      288.287 &              -1.327 &      401.117 &              -1.302 &      499.280 &              -1.093 &      593.326 &              -0.528 &      687.371 &               0.102 &      781.406 &               0.310 &      875.439 &               0.360 &      969.472 &               0.390 \\
      72.169 &               0.015 &      176.182 &              -0.791 &      289.000 &              -1.327 &      401.970 &              -1.301 &      499.911 &              -1.091 &      593.957 &              -0.525 &      688.003 &               0.105 &      782.119 &               0.311 &      876.071 &               0.361 &      970.104 &               0.390 \\
      73.105 &               0.015 &      176.953 &              -0.804 &      289.853 &              -1.327 &      402.907 &              -1.301 &      500.683 &              -1.086 &      594.730 &              -0.518 &      688.775 &               0.110 &      782.809 &               0.311 &      876.843 &               0.361 &      970.877 &               0.390 \\
      73.819 &               0.014 &      177.585 &              -0.811 &      290.626 &              -1.327 &      403.842 &              -1.301 &      501.315 &              -1.084 &      595.361 &              -0.516 &      689.406 &               0.113 &      783.522 &               0.312 &      877.474 &               0.361 &      971.508 &               0.390 \\
      74.509 &               0.015 &      178.356 &              -0.824 &      291.339 &              -1.327 &      404.778 &              -1.302 &      502.086 &              -1.079 &      596.133 &              -0.509 &      690.178 &               0.118 &      784.212 &               0.312 &      878.246 &               0.362 &      972.280 &               0.390 \\
      75.444 &               0.016 &      178.988 &              -0.829 &      292.193 &              -1.327 &      405.713 &              -1.301 &      502.800 &              -1.076 &      596.765 &              -0.507 &      690.811 &               0.121 &      784.844 &               0.313 &      878.878 &               0.361 &      972.911 &               0.390 \\
      76.157 &               0.015 &      179.760 &              -0.842 &      292.965 &              -1.326 &      406.426 &              -1.301 &      503.502 &              -1.071 &      597.537 &              -0.500 &      691.582 &               0.127 &      785.616 &               0.314 &      879.650 &               0.362 &      973.683 &               0.391 \\
      76.929 &               0.016 &      180.474 &              -0.848 &      293.678 &              -1.327 &      407.117 &              -1.301 &      504.134 &              -1.069 &      598.168 &              -0.497 &      692.213 &               0.129 &      786.248 &               0.314 &      880.282 &               0.362 &      974.314 &               0.391 \\
      77.783 &               0.016 &      181.164 &              -0.860 &      294.369 &              -1.326 &      407.830 &              -1.301 &      504.905 &              -1.064 &      598.939 &              -0.491 &      692.985 &               0.134 &      787.020 &               0.314 &      881.053 &               0.363 &      975.087 &               0.391 \\
      78.496 &               0.016 &      181.796 &              -0.867 &      295.304 &              -1.326 &      408.521 &              -1.300 &      505.537 &              -1.061 &      599.571 &              -0.488 &      693.617 &               0.137 &      787.651 &               0.315 &      881.685 &               0.363 &      975.719 &               0.391 \\
      79.269 &               0.016 &      182.567 &              -0.878 &      296.018 &              -1.326 &      409.233 &              -1.300 &      506.309 &              -1.055 &      600.343 &              -0.482 &      694.389 &               0.141 &      788.424 &               0.315 &      882.457 &               0.363 &      976.491 &               0.392 \\
      80.123 &               0.017 &      183.504 &              -0.890 &      296.709 &              -1.325 &      410.006 &              -1.300 &      506.941 &              -1.053 &      600.974 &              -0.479 &      695.021 &               0.144 &      789.055 &               0.316 &      883.088 &               0.363 &      977.203 &               0.392 \\
      80.836 &               0.016 &      184.439 &              -0.901 &      297.422 &              -1.326 &      410.859 &              -1.300 &      507.713 &              -1.048 &      601.747 &              -0.472 &      695.793 &               0.148 &      789.827 &               0.317 &      883.860 &               0.364 &      977.893 &               0.392 \\
      81.608 &               0.018 &      185.375 &              -0.912 &      298.275 &              -1.325 &      411.795 &              -1.299 &      508.427 &              -1.046 &      602.379 &              -0.470 &      696.425 &               0.151 &      790.458 &               0.317 &      884.492 &               0.364 &      978.525 &               0.393 \\
      82.462 &               0.017 &      186.310 &              -0.924 &      299.129 &              -1.324 &      412.731 &              -1.299 &      509.116 &              -1.041 &      603.150 &              -0.464 &      697.196 &               0.155 &      791.230 &               0.317 &      885.264 &               0.364 &      979.297 &               0.391 \\
      83.398 &               0.017 &      187.245 &              -0.935 &      299.982 &              -1.324 &      413.667 &              -1.300 &      509.748 &              -1.039 &      603.783 &              -0.460 &      697.828 &               0.158 &      791.943 &               0.318 &      885.896 &               0.364 &      980.010 &               0.392 \\
      84.334 &               0.017 &      187.960 &              -0.942 &      300.918 &              -1.325 &      414.602 &              -1.299 &      510.520 &              -1.033 &      604.555 &              -0.454 &      698.599 &               0.161 &      792.633 &               0.319 &      886.667 &               0.364 &      980.701 &               0.392 \\
      85.269 &               0.018 &      188.813 &              -0.955 &      301.853 &              -1.325 &      415.538 &              -1.299 &      511.233 &              -1.031 &      605.185 &              -0.451 &      699.231 &               0.163 &      793.265 &               0.319 &      887.298 &               0.365 &      981.332 &               0.393 \\
      86.205 &               0.018 &      189.667 &              -0.968 &      302.790 &              -1.325 &      416.252 &              -1.299 &      511.923 &              -1.025 &      605.957 &              -0.444 &      700.003 &               0.167 &      794.037 &               0.319 &      888.070 &               0.365 &      982.104 &               0.393 \\
      87.140 &               0.017 &      190.521 &              -0.982 &      303.725 &              -1.323 &      417.023 &              -1.298 &      512.637 &              -1.022 &      606.589 &              -0.441 &      700.717 &               0.169 &      794.669 &               0.320 &      888.702 &               0.365 &      982.818 &               0.393 \\
      87.854 &               0.017 &      191.456 &              -0.994 &      304.661 &              -1.323 &      417.877 &              -1.298 &      513.326 &              -1.018 &      607.361 &              -0.435 &      701.406 &               0.173 &      795.440 &               0.321 &      889.474 &               0.365 &      983.508 &               0.394 \\
